#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1900.00   -0.008125    0.030848    0.074554    0.023046  -0.0001443   0.0000000    0.264930    0.000000    0.020524    0.000000
   1900.05    0.036875    0.028096    0.022983    0.020404  -0.0000588   0.0000000    0.265620    0.000000    0.020773    0.000000
   1900.10    0.048628    0.030600    0.012210    0.023918   0.0002632   0.0000000    0.264500    0.000000    0.020135    0.000000
   1900.15    0.030026    0.021667    0.001854    0.021683  -0.0003384   0.0000000    0.264096    0.000000    0.018614    0.000000
   1900.20    0.028248    0.022871   -0.001632    0.021847   0.0000193   0.0000000    0.265617    0.000000    0.017759    0.000000
   1900.25   -0.002648    0.028034   -0.018552    0.023082   0.0001704   0.0000000    0.265693    0.000000    0.016597    0.000000
   1900.30   -0.007709    0.019927   -0.026484    0.020735  -0.0001878   0.0000000    0.266722    0.000000    0.015331    0.000000
   1900.35   -0.058637    0.021363   -0.040673    0.020629   0.0001322   0.0000000    0.267158    0.000000    0.015285    0.000000
   1900.40   -0.064046    0.020565   -0.058522    0.018251   0.0001232   0.0000000    0.265653    0.000000    0.015787    0.000000
   1900.45   -0.072336    0.018505   -0.078196    0.019867  -0.0001029   0.0000000    0.263686    0.000000    0.015619    0.000000
   1900.50   -0.034564    0.019204   -0.034881    0.017393  -0.0000132   0.0000000    0.261244    0.000000    0.016044    0.000000
   1900.55   -0.038495    0.016890   -0.048585    0.019430   0.0001450   0.0000000    0.257711    0.000000    0.016258    0.000000
   1900.60   -0.062481    0.021672   -0.008275    0.019683  -0.0001668   0.0000000    0.254759    0.000000    0.016060    0.000000
   1900.65   -0.081677    0.022415   -0.026052    0.021050   0.0000018   0.0000000    0.254131    0.000000    0.016825    0.000000
   1900.70   -0.080336    0.019372    0.002984    0.019933   0.0001985   0.0000000    0.252905    0.000000    0.016454    0.000000
   1900.75   -0.072716    0.020456    0.052737    0.020020  -0.0002483   0.0000000    0.253766    0.000000    0.016150    0.000000
   1900.80   -0.083558    0.021643    0.052007    0.018452   0.0001029   0.0000000    0.256369    0.000000    0.017218    0.000000
   1900.85   -0.091372    0.028262    0.106107    0.022959   0.0000071   0.0000000    0.258155    0.000000    0.017609    0.000000
   1900.90   -0.073024    0.026382    0.122035    0.023376  -0.0001829   0.0000000    0.259675    0.000000    0.018439    0.000000
   1900.95   -0.003179    0.022074    0.110790    0.022650   0.0001392   0.0000000    0.261616    0.000000    0.018885    0.000000
   1901.00   -0.009010    0.025508    0.105929    0.024581   0.0000982   0.0000000    0.260860    0.000000    0.020044    0.000000
   1901.05   -0.002097    0.022830    0.132471    0.025580  -0.0001629   0.0000000    0.261402    0.000000    0.019038    0.000000
   1901.10    0.020842    0.028296    0.092470    0.024079   0.0000263   0.0000000    0.261280    0.000000    0.019025    0.000000
   1901.15    0.018321    0.027959    0.103750    0.021517   0.0002084   0.0000000    0.260698    0.000000    0.017793    0.000000
   1901.20    0.056947    0.023553    0.110434    0.021218  -0.0002324   0.0000000    0.261268    0.000000    0.016178    0.000000
   1901.25    0.043512    0.021997    0.064998    0.021963   0.0001483   0.0000000    0.262370    0.000000    0.015584    0.000000
   1901.30    0.061381    0.018370    0.062942    0.019514   0.0001877   0.0000000    0.262339    0.000000    0.014761    0.000000
   1901.35    0.102916    0.019188    0.037923    0.019404  -0.0002553   0.0000000    0.262209    0.000000    0.013845    0.000000
   1901.40    0.082023    0.018701   -0.035411    0.021228   0.0001912   0.0000000    0.261544    0.000000    0.014545    0.000000
   1901.45    0.122469    0.017657   -0.030958    0.017563  -0.0000057   0.0000000    0.258834    0.000000    0.015214    0.000000
   1901.50    0.138111    0.019356   -0.028024    0.019467  -0.0000854   0.0000000    0.256237    0.000000    0.014970    0.000000
   1901.55    0.092829    0.020717   -0.106405    0.018840   0.0001487   0.0000000    0.253188    0.000000    0.015189    0.000000
   1901.60    0.069593    0.018278   -0.154104    0.017685   0.0000382   0.0000000    0.250787    0.000000    0.015306    0.000000
   1901.65    0.090760    0.016230   -0.123217    0.016966  -0.0001458   0.0000000    0.249005    0.000000    0.015138    0.000000
