#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1957.00   -0.288599    0.017233    0.355878    0.014521   0.4975072   0.0015163    0.093627    0.000000    0.005614    0.000000
   1957.05   -0.276562    0.012918    0.374631    0.013010   0.4829413   0.0012731    0.093957    0.000000    0.005673    0.000000
   1957.10   -0.198267    0.015161    0.474696    0.013881   0.4676855   0.0013836    0.093836    0.000000    0.004706    0.000000
   1957.15   -0.150183    0.013839    0.526666    0.013605   0.4414290   0.0015330    0.092574    0.000000    0.003451    0.000000
   1957.20   -0.119350    0.012796    0.557858    0.013464   0.4121461   0.0014908    0.093829    0.000000    0.002684    0.000000
   1957.25   -0.059997    0.010579    0.555051    0.011907   0.3810101   0.0012657    0.094687    0.000000    0.001438    0.000000
   1957.30    0.021654    0.013259    0.553263    0.012683   0.3559051   0.0013643    0.094901    0.000000    0.001083    0.000000
   1957.35    0.103972    0.013231    0.578450    0.012824   0.3213692   0.0014966    0.095316    0.000000    0.000574    0.000000
   1957.40    0.168906    0.012799    0.562216    0.012161   0.2884139   0.0012166    0.092973    0.000000    0.000701    0.000000
   1957.45    0.255620    0.013772    0.507127    0.012356   0.2662014   0.0013756    0.091626    0.000000    0.001243    0.000000
   1957.50    0.265739    0.012906    0.417574    0.011469   0.2512141   0.0013056    0.088115    0.000000    0.001802    0.000000
   1957.55    0.354414    0.014651    0.387214    0.012546   0.2409439   0.0014071    0.085547    0.000000    0.000948    0.000000
   1957.60    0.361947    0.013031    0.289481    0.012632   0.2306446   0.0013349    0.082727    0.000000    0.001108    0.000000
   1957.65    0.316608    0.014587    0.174852    0.013836   0.2228392   0.0016700    0.081281    0.000000    0.001317    0.000000
   1957.70    0.271687    0.015228    0.100163    0.014442   0.2040687   0.0016496    0.080950    0.000000    0.001250    0.000000
   1957.75    0.186343    0.011861    0.083770    0.011082   0.1720297   0.0011723    0.081959    0.000000    0.001629    0.000000
   1957.80    0.090615    0.012096    0.027732    0.011633   0.1393116   0.0012541    0.083056    0.000000    0.002458    0.000000
   1957.85    0.044363    0.016880   -0.012524    0.011586   0.1127099   0.0013454    0.084809    0.000000    0.003220    0.000000
   1957.90   -0.048065    0.014149   -0.004878    0.012576   0.0805730   0.0014177    0.087190    0.000000    0.004348    0.000000
   1957.95   -0.139138    0.015643    0.056106    0.013697   0.0457324   0.0015864    0.087904    0.000000    0.004861    0.000000
   1958.00   -0.201504    0.019763    0.101657    0.014307   0.0132302   0.0017316    0.088265    0.000000    0.004904    0.000000
   1958.05   -0.268929    0.015232    0.183384    0.013306  -0.0246751   0.0014589    0.088074    0.000000    0.005023    0.000000
